lc_time;T_in1;T_in2;T_wall_in;T_wall_out;T_outside;T_outside_PT;T_chamber;T_chamber1;T_leaf1;T_leaf2;T_leaf_in;Wind;T_dew;Air_inflow;Air_outflow;nr_time;T_leaf_IR;V_leaf_IR;Rn_above_leaf;Rn_below_leaf;Rn_beside_leaf;RnV_above_leaf;RnV_below_leaf;RnV_beside_leaf;sens_timefirst;sens_timelast;water_flow_avg;water_flow_std;water_flow_n;pow_timefirst;pow_timelast;fan_power_avg;fan_power_std;fan_power_n;Comment
TS;K;K;K;K;K;Deg C;K;K;K;K;K;m/s;degC;SLPM;SLPM;TS;Deg C;mV;W/m^2;W/m^2;W/m^2;mV;mV;mV;;;ul/min;ul/min;ul/min;TS;TS;W;W;;
2014-05-12 13:32:19;13.08;13.30;23.19;23.18;23.16;26.59;23.17;22.99;21.73;22.80;18.11;5.155;-10.15;4.846;2.292;2014-05-12 13:32:21;17.76;-0.1615;371.1;-19.10;225.6;-0.4441;0.01983;-0.2922;2014-05-12 13:32:09;2014-05-12 13:32:16;-20.85;0.2724;100;2014-05-12 13:31:17;2014-05-12 13:32:16;1.188;0.0000;54;unlimited gsv, R_s=370, varying v_w
2014-05-12 14:18:10;13.06;13.24;23.25;23.35;23.34;26.79;23.31;23.11;21.74;22.89;18.35;3.973;-10.09;4.962;2.336;2014-05-12 14:18:10;17.88;-0.1575;375.5;-19.13;231.6;-0.4493;0.01986;-0.3001;2014-05-12 14:17:59;2014-05-12 14:18:06;-19.82;0.4223;100;2014-05-12 14:17:06;2014-05-12 14:18:05;1.188;0.0000;54;When moving top sensor, Rs is 390 above the edge of leaf, 340 just beside leaf, varying v_w
2014-05-12 14:18:10;13.06;13.24;23.25;23.35;23.34;26.79;23.31;23.11;21.74;22.89;18.35;3.126;-10.09;4.962;2.336;2014-05-12 14:18:10;17.88;-0.1575;375.0;-19.67;243.0;-0.4488;0.02042;-0.3148;2014-05-12 14:17:59;2014-05-12 14:18:06;-19.82;0.4223;100;2014-05-12 14:17:06;2014-05-12 14:18:05;1.188;0.0000;54;varying v_w
2014-05-12 16:16:31;12.77;12.97;23.42;23.40;23.40;26.75;23.45;23.31;21.75;22.99;19.17;2.138;-10.11;5.447;2.379;2014-05-12 16:16:34;18.64;-0.1307;379.8;-19.36;254.9;-0.4545;0.02010;-0.3302;2014-05-12 16:16:24;2014-05-12 16:16:31;-16.59;0.6848;100;2014-05-12 16:15:32;2014-05-12 16:16:31;1.188;0.0001373;52;varying v_w
2014-05-13 14:14:07;12.43;12.60;22.94;23.10;23.11;26.54;22.97;22.92;20.50;22.85;18.84;2.091;-10.09;5.544;3.058;2014-05-13 14:14:09;18.68;-0.1292;374.8;-18.97;259.1;-0.4486;0.01970;-0.3357;2014-05-13 14:13:59;2014-05-13 14:14:06;-17.50;0.2599;100;2014-05-13 14:13:08;2014-05-13 14:14:06;1.195;0.0006326;53;new day, Rs=394 at edge of leaf, 330 just beside, but above BL, outside T had just gone up but inside stable, varying v_w
2014-05-13 14:44:07;12.28;12.44;23.20;23.10;23.08;26.30;23.21;23.28;21.28;23.22;20.56;0.7194;-10.08;5.847;3.133;2014-05-13 14:44:07;20.27;-0.07185;384.2;-17.78;284.7;-0.4598;0.01846;-0.3689;2014-05-13 14:43:56;2014-05-13 14:44:03;-13.52;0.2529;100;2014-05-13 14:43:05;2014-05-13 14:44:04;1.195;0.0004978;53;varying v_w
2014-05-13 15:39:22;12.51;12.68;23.26;23.14;23.12;26.46;23.28;23.26;20.89;23.17;19.62;1.249;-10.10;5.651;3.042;2014-05-13 15:39:25;19.34;-0.1057;380.0;-18.90;268.9;-0.4548;0.01962;-0.3483;2014-05-13 15:39:14;2014-05-13 15:39:21;-15.70;0.1998;100;2014-05-13 15:38:22;2014-05-13 15:39:21;1.194;0.0004736;53;T_w_out went down when opening the door, stable and equal to T_w_in before, varying v_w
2014-05-13 16:31:52;12.36;12.52;22.95;23.02;23.01;26.26;22.98;22.94;20.56;22.86;19.08;1.708;-10.08;5.740;3.068;2014-05-13 16:31:53;19.00;-0.1177;375.4;-19.11;264.1;-0.4493;0.01984;-0.3421;2014-05-13 16:31:44;2014-05-13 16:31:51;-16.62;0.2411;100;2014-05-13 16:30:52;2014-05-13 16:31:51;1.194;0.0004796;53;not quite steady-state, as both T_win and T_wout still decreasing, varying v_w
2014-05-14 11:25:40;12.44;12.61;22.58;22.74;22.74;26.06;22.61;22.52;20.17;22.43;18.32;2.837;-10.08;5.360;-2.438;2014-05-14 11:25:42;18.65;-0.1303;374.1;-19.12;258.2;-0.4477;0.01985;-0.3345;2014-05-14 11:25:31;2014-05-14 11:25:38;-18.64;0.3499;100;2014-05-14 11:24:38;2014-05-14 11:25:37;1.149;0.0000;54;T_win constant while T_wout varies, varying v_w
2014-05-14 14:42:10;12.68;12.86;22.77;22.70;22.69;26.10;22.83;22.72;20.39;22.63;18.27;3.392;-10.06;5.062;-2.312;2014-05-14 14:42:12;18.54;-0.1340;384.2;-18.87;255.4;-0.4597;0.01959;-0.3308;2014-05-14 14:42:00;2014-05-14 14:42:07;-19.91;0.3556;100;2014-05-14 14:41:09;2014-05-14 14:42:08;1.149;0.0002311;53;varying v_w
2014-05-14 15:23:58;12.77;12.94;22.73;22.81;22.82;26.14;22.72;22.63;20.33;22.56;17.97;4.633;-10.05;4.956;-1.916;2014-05-14 15:23:57;18.12;-0.1489;384.7;-19.17;247.5;-0.4603;0.01991;-0.3207;2014-05-14 15:23:47;2014-05-14 15:23:54;-21.69;0.3075;100;2014-05-14 15:22:55;2014-05-14 15:23:54;1.149;0.0000;53;varying v_w
2014-05-14 16:47:43;12.90;13.08;22.79;22.92;22.90;26.22;22.78;22.69;20.41;22.64;17.97;5.107;-10.09;4.846;2.785;2014-05-14 16:47:46;17.99;-0.1535;381.2;-19.12;243.1;-0.4562;0.01985;-0.3150;2014-05-14 16:47:36;2014-05-14 16:47:43;-22.17;0.2809;100;2014-05-14 16:46:44;2014-05-14 16:47:43;1.149;0.0000;53;varying v_w
