lc_time;T_in1;T_in2;T_wall_in;T_wall_out;T_outside;T_outside_PT;T_chamber;T_leaf1;T_leaf2;T_leaf_in;Wind;T_dew;Air_inflow;Air_outflow;nr_time;T_leaf_IR;V_leaf_IR;Rn_above_leaf;Rn_below_leaf;Rn_beside_leaf;RnV_above_leaf;RnV_below_leaf;RnV_beside_leaf;sens_timefirst;sens_timelast;water_flow_avg;water_flow_std;water_flow_n;pow_timefirst;pow_timelast;fan_power_avg;fan_power_std;fan_power_n;Comment
TS;K;K;K;K;K;Deg C;K;K;K;K;m/s;degC;SLPM;SLPM;TS;Deg C;mV;W/m^2;W/m^2;W/m^2;mV;mV;mV;;;ul/min;ul/min;ul/min;TS;TS;W;W;;
2014-03-19 16:12:55;26.47;26.31;22.72;22.66;22.50;23.14;22.73;20.22;21.84;16.09;1.000;-10.07;3.939;2.150;2014-03-19 16:12:57;15.60;-0.2363;18.54;-19.70;-7.710;-0.02218;0.02048;0.009957;2014-03-19 16:12:20;2014-03-19 16:12:27;-9.747;0.1542;100;2014-03-19 16:11:56;2014-03-19 16:12:55;0.06452;0.00003198;54;Black leaf only with filter paper, varying Tdew, cooler set to 20oC, humidifier T increased if necessary for steady state
2014-03-19 17:25:05;26.42;26.27;22.64;22.68;22.53;23.38;22.62;20.05;21.76;15.74;1.040;-14.81;4.050;2.244;2014-03-19 17:25:06;15.31;-0.2463;19.15;-20.43;-8.228;-0.02292;0.02124;0.01063;2014-03-19 17:24:52;2014-03-19 17:24:59;-10.07;0.1254;100;2014-03-19 17:24:07;2014-03-19 17:25:06;0.06433;0.00001351;54;varying Tdew
2014-03-20 15:48:40;25.20;25.18;23.32;23.35;23.13;26.59;23.34;21.35;21.46;16.73;1.016;0.09124;7.228;3.876;2014-03-20 15:48:40;15.60;-0.2362;19.43;-18.45;26.66;-0.02325;0.01919;-0.03457;2014-03-20 15:48:19;2014-03-20 15:48:26;-9.434;0.09447;100;2014-03-20 15:47:40;2014-03-20 15:48:39;0.06381;0.00001725;55;varying Tdew
2014-03-20 17:07:40;25.19;25.18;23.40;23.43;23.34;26.75;23.42;21.19;21.30;16.15;1.034;-5.024;8.836;4.576;2014-03-20 17:07:40;14.96;-0.2582;21.20;-20.15;26.72;-0.02537;0.02095;-0.03465;2014-03-20 17:07:26;2014-03-20 17:07:33;-10.28;0.2422;100;2014-03-20 17:06:42;2014-03-20 17:07:40;0.06378;0.00002570;54;varying Tdew
2014-03-24 12:32:10;26.41;26.29;22.33;22.38;22.29;25.77;22.35;19.04;21.25;16.24;1.018;-5.015;3.558;2.085;2014-03-24 12:32:12;16.24;-0.2142;17.04;-16.80;-0.4545;-0.02039;0.01747;0.0005564;2014-03-24 12:32:03;2014-03-24 12:32:10;-8.945;0.1869;100;2014-03-24 12:31:10;2014-03-24 12:32:09;0.06426;0.00001137;55;varying Tdew
2014-03-24 14:11:58;24.02;24.01;22.56;22.53;22.45;25.85;22.58;19.56;21.55;17.00;1.009;5.115;8.549;4.539;2014-03-24 14:11:59;16.82;-0.1943;15.65;-15.06;-0.7787;-0.01872;0.01566;0.0009764;2014-03-24 14:11:50;2014-03-24 14:11:57;-8.092;0.1858;100;2014-03-24 14:10:58;2014-03-24 14:11:57;0.06428;0.00001451;55;varying Tdew
2014-03-24 14:43:04;24.25;24.23;22.57;22.58;22.47;25.93;22.59;20.20;21.78;18.19;1.012;10.21;5.554;3.175;2014-03-24 14:43:06;17.91;-0.1562;12.55;-11.98;-0.1198;-0.01502;0.01246;0.0001227;2014-03-24 14:42:49;2014-03-24 14:42:56;-6.581;0.1051;100;2014-03-24 14:42:05;2014-03-24 14:43:04;0.06431;0.00001674;54;varying Tdew
2014-03-24 16:24:34;23.23;23.19;22.21;22.30;22.24;25.57;22.22;20.66;21.69;19.41;1.038;15.14;4.038;2.444;2014-03-24 16:24:33;19.09;-0.1145;7.638;-8.015;4.552;-0.009139;0.008339;-0.005931;2014-03-24 16:24:26;2014-03-24 16:24:33;-4.273;0.1099;100;2014-03-24 16:23:34;2014-03-24 16:24:33;0.06441;0.00001503;54;varying Tdew
2014-03-24 18:05:16;22.65;22.65;22.50;22.38;22.38;25.89;22.50;21.80;22.26;21.30;1.032;20.10;4.065;2.476;2014-03-24 18:05:19;20.79;-0.05258;3.647;-3.204;1.439;-0.004363;0.003339;-0.001896;2014-03-24 18:04:58;2014-03-24 18:05:05;-1.934;0.1372;100;2014-03-24 18:04:18;2014-03-24 18:05:17;0.06427;0.00001650;54;varying Tdew
